Epoch,Pitch,Roll,Yaw,Temp,Pulse
1585859453.9891105,-83.51,-95.57,292.38,25.75,1005.00
1585859454.4502518,-83.54,-94.83,291.71,25.75,74.00
1585859454.9114356,-83.53,-96.77,293.52,25.69,1.00
1585859455.376612,-83.89,-97.45,294.06,25.69,1005.00
1585859455.867305,-83.94,-98.39,294.96,25.69,26.00
1585859456.3174307,-84.04,-97.94,294.51,25.69,1.00
1585859456.7675033,-84.09,-98.38,294.96,25.69,1005.00
1585859457.2185137,-84.01,-97.74,294.35,25.69,591.00
1585859457.6790128,-83.98,-97.06,293.58,25.69,1.00
1585859458.1686215,-84.06,-95.76,292.48,25.75,1003.00
1585859458.618498,-84.00,-95.43,292.16,25.75,1003.00
1585859459.0677676,-83.95,-95.82,292.41,25.75,1.00
1585859459.5276704,-84.08,-94.28,290.99,25.75,1003.00
1585859459.9972312,-84.29,-93.48,290.28,25.75,1004.00
1585859460.4492738,-84.13,-93.80,290.51,25.75,1.00
1585859460.9171047,-84.09,-93.26,289.93,25.75,992.00
1585859461.368487,-81.83,-47.16,244.73,25.75,1005.00
1585859461.8670907,4.72,1.42,201.25,25.69,1.00
1585859462.317552,41.90,6.59,203.66,25.75,1.00
1585859462.7687826,83.25,111.44,304.94,25.75,1005.00
1585859463.2177165,47.49,9.49,202.67,25.81,117.00
1585859463.67646,68.85,27.19,218.11,25.81,424.00
1585859464.167485,71.78,38.47,230.09,25.75,1005.00
1585859464.6174407,72.54,47.35,239.22,25.81,1.00
1585859465.0675333,73.25,60.49,252.64,25.81,1.00
1585859465.5263553,72.77,72.10,264.96,25.81,1005.00
1585859466.0173159,-6.33,24.21,195.68,25.81,1.00
1585859466.4684517,-23.40,25.19,191.87,25.75,1.00
1585859466.9184115,-26.56,24.18,193.57,25.81,1005.00
1585859467.3675547,-28.65,23.27,195.60,25.81,424.00
1585859467.8277385,60.38,76.57,277.53,25.81,1.00
Epoch,Pitch,Roll,Yaw,Temp,Pulse
1585859541.277156,-80.77,-109.36,300.32,26.06,1.00
1585859541.7380545,-80.64,-109.91,300.67,26.06,1003.00
1585859542.1989994,-80.67,-109.17,299.93,26.06,1005.00
1585859542.660211,-80.82,-110.44,301.35,26.00,1.00
1585859543.157308,-80.63,-109.79,300.75,26.06,823.00
1585859543.6078966,-80.55,-109.15,300.28,26.06,1004.00
1585859544.0571105,-80.72,-108.26,299.42,26.06,1.00
1585859544.5073888,-80.75,-107.49,298.73,26.06,709.00
1585859544.9668653,-80.93,-108.81,299.72,26.00,1004.00
1585859545.4575198,-80.81,-108.44,299.50,26.06,1.00
1585859545.9075353,-80.87,-108.51,299.55,26.06,281.00
1585859546.3574674,-81.15,-108.99,300.07,26.06,1005.00
1585859546.8165555,-81.08,-109.48,300.70,26.06,1.00
1585859547.307146,-80.97,-109.71,301.20,26.06,1.00
1585859547.7574606,-80.93,-109.44,300.95,26.06,1005.00
1585859548.2074018,-81.11,-108.98,300.63,26.06,1.00
1585859548.6574736,-81.55,-145.58,339.26,26.06,1.00
1585859549.1176445,-56.78,-175.45,3.14,26.06,1005.00
1585859549.60745,-67.50,-1.89,192.88,26.12,1.00
1585859550.0574286,-64.72,-2.39,194.88,26.12,1.00
1585859550.507395,-66.07,-3.30,196.55,26.12,1004.00
1585859550.9665744,-66.29,-4.16,198.15,26.12,729.00
1585859551.4574533,-68.50,-5.57,200.25,26.12,50.00
1585859551.887052,10.52,-169.46,15.00,26.12,1005.00
1585859552.3669753,-26.63,-166.05,8.45,26.12,1002.00
1585859552.8077776,-45.67,-160.36,2.41,26.12,1.00
1585859553.2870524,-49.59,-164.53,4.34,26.19,1005.00
1585859553.733131,-36.85,-7.45,202.08,26.19,316.00
1585859554.2069364,-32.20,-5.50,201.74,26.12,43.00
1585859554.6531503,-32.71,-4.89,202.27,26.19,402.00
1585859555.1270106,-55.38,-169.09,7.92,26.19,313.00
1585859555.5794814,-78.61,-154.01,352.56,26.19,961.00
1585859556.0469038,-83.55,-35.67,232.77,26.25,864.00
1585859556.499149,-9.02,7.14,202.26,26.25,1.00
1585859556.9589593,-2.69,9.35,204.89,26.25,1.00
1585859557.4269402,-8.93,8.88,205.04,26.19,715.00
1585859557.879756,73.88,154.78,354.68,26.25,773.00
1585859558.3470163,77.86,147.71,346.59,26.25,1.00
